X,Y,incident_id,incident_location,call_source,call_description,category,priority,call_group,call_code,called_at,intake_time,dispatch_time,travel_time,on_scene_time,total_response_time,total_time,zip_code,precinct,scout_car_area,neighborhood_name,council_district,longitude,latitude,ESRI_OID
-83.17729089,42.35368944,2.02236E+11,Schaefer & Schaefer Hwy,W911 ,BURGLARY OCCUPANT AWAY I/P,HI2IP   ,2,2PCT  ,352520,2022/12/30 22:30:25+00,0.8,8,43.7,63.3,52.8,116,48228,2,207,Joy-Schaefer,7,-83.17729089,42.35368944,514897
-83.11523902,42.42004369,2.02236E+11,Alwyne Ln & Whitmore Rd,W911 ,UNKNOWN PROBLEM,UNKPROB ,2,12PCT ,843020,2022/12/30 22:29:30+00,2.6,12,2.8,9.5,19.2,28.7,48203,12,1209,Palmer Park,2,-83.11523902,42.42004368,514898
-83.21626376,42.38674444,2.02236E+11,Schoolcraft St & Archdale St,E911 ,UDAA I/P,UDAAIP  ,2,8PCT  ,372020,2022/12/30 22:29:01+00,0.7,16.9,23.3,29.6,44.2,73.7,48227,8,814,Grandmont,1,-83.21626376,42.38674444,514899
-83.20251771,42.44458989,2.02236E+11,James Couzens Fwy & 8 Mile Service Drive,PHONE,HOLD UP ALARM AND MOW,HOLDUP  ,1,12PCT ,802010,2022/12/30 22:28:55+00,1.3,0.8,11.4,2.7,13.9,16.6,48235,12,1201,Schaefer 7/8 Lodge,,-83.20251771,42.44458989,514900
-83.06226321,42.35371549,2.02236E+11,Woodward Ave & Garfield St,W911 ,SUICIDE THREAT,SUICTHRT,2,3PCT  ,312020,2022/12/30 22:25:13+00,1.4,16.9,0.8,23.6,19.1,42.6,48201,3,309,Midtown,6,-83.06226321,42.35371549,514901
-83.0607526,42.35167726,2.02236E+11,Woodward Ave & W Willis St,PHONE,DISTURBANCE,DISTURB ,3,3PCT  ,825030,2022/12/30 22:24:56+00,1.3,32.3,7.5,16.1,42.5,58.6,48201,3,309,Midtown,6,-83.0607526,42.35167726,514902
-83.1641089,42.35885098,2.02236E+11,Mendota St & Joy Rd,PHONE,INVESTIGATE PERSON,INVPERS ,3,2PCT  ,843030,2022/12/30 22:23:27+00,3.9,2.3,7.7,10.3,15.6,25.9,48204,2,208,Barton-McFarland,7,-83.1641089,42.35885098,514903
-82.93963181,42.41620217,2.02236E+11,W I 94 Service Drive & Grayton St,W911 ,PERSON WITH WEAPON,WEAPON  ,2,9PCT  ,345020,2022/12/30 22:18:23+00,4.1,1,3.6,75.9,8.7,84.6,48224,9,907,Yorkshire Woods,4,-82.93963181,42.41620217,514904
-83.1575268,42.42601528,2.02236E+11,Pickford St & Wisconsin St,W911 ,UNKNOWN PROBLEM,UNKPROB ,2,12PCT ,843020,2022/12/30 22:14:57+00,2.5,12,52.2,25.5,67.4,92.9,48221,12,1208,Bagley,2,-83.1575268,42.42601528,514905
-83.14671102,42.42613889,2.02236E+11,San Juan Dr & Pickford St,W911 ,WELL BEING CHECK,WBC     ,3,12PCT ,843031,2022/12/30 22:14:55+00,1.4,15.3,2.7,2.4,20.8,23.2,48221,12,1208,Bagley,2,-83.14671102,42.42613889,514906
-83.2354827,42.42724797,2.02236E+11,Annchester Rd & Clarita St,W911 ,MISSING REPORT,MISSRPT ,3,8PCT  ,844030,2022/12/30 22:14:27+00,3.9,120.7,4.2,65.7,129.6,195.4,48219,8,807,Evergreen-Outer Drive,1,-83.2354827,42.42724797,514907
-83.13982246,42.39050227,2.02236E+11,Oakman Blvd & Livernois Ave,E911 ,LARCENY I/P OR J/H,LARCENY ,3,10PCT ,361030,2022/12/30 22:13:10+00,1.4,10.2,7.6,112.9,46.3,159.2,0,10,1002,Oakman Blvd Community,7,-83.13982246,42.39050227,514908
-83.19502213,42.43056318,2.02236E+11,Coyle St & W 7 Mile Rd,E911 ,DISTURBANCE,DISTURB ,1,12PCT ,GL8777,2022/12/30 22:13:05+00,1,4.8,1.5,16.3,7.6,24,48235,12,1206,San Bernardo,2,-83.19502213,42.43056318,514909
-83.02712729,42.44604803,2.02236E+11,Spencer St & Savage St,W911 ,AUTO X UNK INJ / IMPAIRED,ACCUNK  ,2,11PCT ,811020,2022/12/30 22:12:15+00,3.1,1.6,8.5,37.1,13.3,50.3,48234,11,1104,Sherwood,3,-83.02712729,42.44604803,514910
-83.13354338,42.34483495,2.02236E+11,Cicotte St & W Warren Ave,PHONE,HOLD UP ALARM AND MOW,HOLDUP  ,1,2PCT  ,802010,2022/12/30 22:11:31+00,1.6,-0.1,8.9,16,11.5,27.5,48210,2,210,Midwest,6,-83.13354338,42.34483495,514911
-83.06694709,42.34357231,2.02236E+11,Cornerstone Blvd & Martin Luther King Jr Blvd,W911 ,DISTURBANCE,DISTURB ,3,3PCT  ,825030,2022/12/30 22:10:42+00,0.6,9,3.6,17.3,15.4,32.7,48201,3,311,Midtown,6,-83.06694709,42.3435723,514912
-83.00831725,42.43253771,2.02236E+11,Eastwood St & Teppert St,W911 ,UNKNOWN PROBLEM,UNKPROB ,2,9PCT  ,843020,2022/12/30 22:08:20+00,1.1,0.4,5.7,16.2,7.2,23.3,48234,9,904,Mount Olivet,3,-83.00831725,42.43253771,514913
-82.92494669,42.40785953,2.02236E+11,E Warren Ave & Neff Ave,E911 ,AUTO X HIT& RUN UNK INJURIES,HRUNK   ,2,5PCT  ,812020,2022/12/30 22:06:25+00,0.6,1.4,6.2,16.4,9.1,25.5,48224,5,505,Cornerstone Village,4,-82.92494669,42.40785953,514914
-83.22403518,42.40097317,2.02236E+11,Greenview Rd & Fenkell St,PHONE,DISTURBANCE,DISTURB ,1,8PCT  ,GL8777,2022/12/30 22:04:30+00,1.1,-2.1,3.8,29.8,6.2,36,48223,8,811,Rosedale Park,1,-83.22403518,42.40097317,514915
-82.96915507,42.4480317,2.02236E+11,Collingham Dr & Gratiot Ave,E911 ,DISTURBANCE,DISTURB ,1,9PCT  ,GL8777,2022/12/30 22:03:40+00,3.1,1,4.1,4.3,9.2,13.4,48205,9,902,Mohican Regent,3,-82.96915507,42.4480317,514916
-83.12155882,42.4103,2.02236E+11,Log Cabin St & Puritan St,W911 ,DISTURBANCE,DISTURB ,3,12PCT ,825030,2022/12/30 22:03:23+00,1.3,87.8,16.7,10.4,111.9,122.3,48203,12,1212,Martin Park,2,-83.12155882,42.41029999,514917
-82.99510273,42.40858436,2.02236E+11,Gunston St & Gratiot Ave,W911 ,AUTO X UNK INJ / IMPAIRED,ACCUNK  ,2,9PCT  ,811020,2022/12/30 22:01:39+00,1.1,0.2,0.4,78.2,2.3,80.5,48213,9,909,Gratiot-Findlay,4,-82.99510273,42.40858436,514918
-83.18501511,42.42367203,2.02236E+11,Curtis St & Ardmore St,W911 ,INVESTIGATE AUTO,INVAUTO ,5,12PCT ,376050,2022/12/30 22:01:13+00,1.8,19.3,22.2,15.4,43.9,59.2,48235,12,1206,Winship,2,-83.18501511,42.42367203,514919
-83.03629681,42.33242927,2.02236E+11,S I 375 Service Drive & E Jefferson Ave,E911 ,DISTURBANCE,DISTURB ,3,3PCT  ,825030,2022/12/30 22:00:09+00,0.4,22.4,3.5,18,27.5,45.5,48226,3,312,Downtown,5,-83.03629681,42.33242926,514920
